Intersection,IntersectionDirection,SideOfStreet,StreetNumber,StreetNumberOpposite,Street,IntersectionDistance,BusShelterID
ABROS PL and WAIRAKEI RD,E,N,490,0,WAIRAKEI RD,34.92,1263
ACHESON AVE and EMMETT ST,S,N,102,0,EMMETT ST,37.88,54011
ALBEMARLE ST and BROUGHAM ST,W,N,323,0,BROUGHAM ST,15.42,1579
ALDWINS RD and BASS ST,N,E,68,0,ALDWINS RD,121.52,60566
ALDWINS RD and MARLBOROUGH ST,E,E,154,0,ALDWINS RD,64.23,60564
"ALPORT PL, FERRY RD and GOULD CRES",W,S,720,0,FERRY RD,52.91,60509
ANFIELD ST and LWR STYX RD,S,W,1039,0,LWR STYX RD,26.95,50107
ANTIGUA ST and OXFORD TCE,W,N,1,0,OXFORD TCE,59.89,602
ANTIGUA ST and TUAM ST,W,S,18,0,TUAM ST,31.14,966
AORANGI RD and CONDELL AVE,S,N,86,0,CONDELL AVE,79.14,1709
ARMAGH ST and MANCHESTER ST,E,N,161,0,ARMAGH ST,49.83,506
ARMAGH ST and OXFORD TCE,E,N,87,0,ARMAGH ST,60.41,511
ATHELSTAN ST and BARRINGTON ST,E,S,6,0,ATHELSTAN ST,36.83,1202
ATHELSTAN ST and EVERARD ST,W,W,17,0,EVERARD ST,11.1,1203
AUGUSTA ST and MAIN RD,S,W,190,0,MAIN RD,30,60541
AUSTIN ST and WALTHAM RD,N,W,91,0,WALTHAM RD,61.29,76
"AVALON ST, HILLS RD and WHITMORE ST",N,E,8,0,HILLS RD,41.7,54014
AVONSIDE DR and BOWIE PL,S,S,7,0,BOWIE PL,13.51,289
AVONSIDE DR and TORLESSE ST,S,E,700,0,AVONSIDE DR,23.8,322
BARBADOES ST and WARRINGTON ST,S,E,672,0,BARBADOES ST,78.8,54022
BARRINGTON ST and BEWDLEY ST,S,W,391,0,BARRINGTON ST,43.71,1173
BARRINGTON ST and KINVER PL,S,W,267,0,BARRINGTON ST,19.93,1176
BARRINGTON ST and SOMERFIELD ST,N,N,9,0,SOMERFIELD ST,68.89,299
BARRINGTON ST and STOURBRIDGE ST,N,N,260,0,BARRINGTON ST,26.5,1175
BARTLETT ST and RICCARTON RD,N,N,12,0,RICCARTON RD,8.85,1686
BEACH RD and DONNINGTON ST,W,S,239,0,BEACH RD,45.43,60208
"BEACHVILLE RD, MAIN RD and MCCORMACKS BAY RD",E,E,9,0,MAIN RD,76.29,60535
BEALEY AVE and COLOMBO ST,S,E,882,0,COLOMBO ST,192.05,819
BEALEY AVE and COLOMBO ST,S,W,895,0,COLOMBO ST,136.39,820
"BEALEY AVE, FITZGERALD AVE, LONDON ST and WHITMORE",S,E,298,0,FITZGERALD AVE,47.05,533
BELLBROOK CRES and EMMETT ST,S,W,165,0,EMMETT ST,20.88,54013
BERESFORD ST and HARDY ST,N,W,8,0,HARDY ST,22.81,61334
BERESFORD ST and MAFEKING ST,W,S,37,0,BERESFORD ST,36.71,60319
BERESFORD ST and UNION ST,E,S,41,0,BERESFORD ST,41.12,60320
"BERESFORD ST, BRIGHTON MALL and ORAM AVE",S,W,6,0,ORAM AVE,28.99,60426
"BERESFORD ST, BRIGHTON MALL and ORAM AVE",S,E,7,0,ORAM AVE,35.73,60427
BILLY'S TRK and MAJOR HORNBROOK RD,S,E,89,0,MAJOR HORNBROOK RD,32.47,50485
"BIRMINGHAM DR, HALLS PL and MARYLANDS PL",W,N,12,0,BIRMINGHAM DR,106.82,1171
BISHOPDALE CT and HAREWOOD RD,E,N,322,0,HAREWOOD RD,40.3,1219
BLAIR AVE and PAPANUI RD,E,N,454,0,PAPANUI RD,38.5,60192
BLENHEIM RD and CURLETTS RD,E,N,424,0,BLENHEIM RD,144.97,1652
BLENHEIM RD and HANSONS LN,W,N,390,0,BLENHEIM RD,124.96,1653
BLENHEIM RD and MIDDLETON RD,E,N,308,0,BLENHEIM RD,126.3,1654
BLENHEIM RD and TIKA ST,E,S,0,204,BLENHEIM RD,135.6,1656
BLENHEIM RD and WHARENUI RD,E,N,250,0,BLENHEIM RD,51.15,1655
BLETSOE AVE and SELWYN ST,W,W,247,0,SELWYN ST,25.42,1051
BLIGHS RD and PAPANUI RD,S,N,432,0,PAPANUI RD,44.7,1924
BOWER AVE and NEW BRIGHTON RD,W,S,496,0,NEW BRIGHTON RD,39.75,50158
BOWHILL RD and PALMERS RD,S,E,67,0,PALMERS RD,168.4,50166
BOWHILL RD and PALMERS RD,S,W,80,0,PALMERS RD,180.27,50167
"BRABOURNE ST, OPAWA RD and RIBBONWOOD PL",N,W,294,0,OPAWA RD,61.04,177
BREEZES RD and EGLINTON ST,E,S,92,0,BREEZES RD,50.14,60481
BREEZES RD and HAMPSHIRE ST,E,S,4,0,HAMPSHIRE ST,56.69,60464
BREEZES RD and PAGES RD,W,S,318,0,PAGES RD,97.99,60327
BREEZES RD and PAGES RD,E,N,343,0,PAGES RD,60.26,60328
BREEZES RD and PAGES RD,N,E,273,0,BREEZES RD,113.36,60482
BREEZES RD and WAINONI RD,N,N,197,0,WAINONI RD,31.28,60474
BRIDLE PATH RD and PORT HILLS RD,N,W,23,0,BRIDLE PATH RD,60.84,60524
BROOKBY CRES and WITHELLS RD,E,E,212,0,WITHELLS RD,24.1,1630
BROOKER AVE and NEW BRIGHTON RD,W,S,394,0,NEW BRIGHTON RD,83.7,60184
BROUGHAM ST and WALTHAM RD,W,S,402,0,BROUGHAM ST,51.85,1584
BROUGHAM ST and WILSONS RD,W,S,0,0,BROUGHAM ST,49.27,1586
BUCHANANS RD,W,N,116,0,BUCHANANS RD,50.65,1513
BUCHANANS RD and VANGUARD DR,E,N,138,0,BUCHANANS RD,27.35,1514
BUCKLEYS RD and DACRE ST,E,E,0,0,BUCKLEYS RD,24.32,61338
BUCKLEYS RD and KERRS RD,E,S,0,0,BUCKLEYS RD,41.38,61337
BUCKLEYS RD and NORWICH ST,N,W,31,0,BUCKLEYS RD,19.52,60567
BUCKLEYS RD and NORWICH ST,N,W,33,0,BUCKLEYS RD,29.6,60568
BUCKLEYS RD and RUSSELL ST,S,E,28,0,BUCKLEYS RD,106.67,61340
BUCKNELL ST and YALDHURST RD,N,N,160,0,YALDHURST RD,11.21,1855
BURLINGTON ST and HUXLEY ST,E,S,70,0,HUXLEY ST,92.76,21
CAMBRIDGE TCE and COLOMBO ST,S,W,0,796,COLOMBO ST,15.98,816
"CAMBRIDGE TCE, CASHEL ST and DURHAM ST S",N,E,96,0,CAMBRIDGE TCE,36.25,717
CANTERBURY ST and MAIN SOUTH RD,E,N,0,0,MAIN SOUTH RD,66.48,1522
CARBINE PL and EPSOM RD,S,E,70,0,EPSOM RD,69.12,1860
CARLTON MILL RD and EXETER ST,E,N,77,0,CARLTON MILL RD,64.34,1821
CARMEN RD and CHALMERS ST,W,S,0,19,CHALMERS ST,225.78,1235
CARMEN RD and MAIN SOUTH RD,W,N,406,0,MAIN SOUTH RD,94.1,1523
CASHEL ST,W,N,425,0,CASHEL ST,49.32,395
CASHEL ST and COLOMBO ST,S,W,661,0,COLOMBO ST,56.53,754
CASHEL ST and COLOMBO ST,S,E,676,0,COLOMBO ST,57.36,755
CASHEL ST and COLOMBO ST,S,E,678,0,COLOMBO ST,49,758
CASHEL ST and COLOMBO ST,S,E,680,0,COLOMBO ST,46.43,759
CASHEL ST and COLOMBO ST,S,W,665,0,COLOMBO ST,40.95,760
CASHEL ST and COLOMBO ST,S,E,684,0,COLOMBO ST,25.29,764
CASHEL ST and COLOMBO ST,S,W,667,0,COLOMBO ST,22.38,766
CASHEL ST and COLOMBO ST,S,W,667,0,COLOMBO ST,20.22,767
CASHEL ST and MADRAS ST,E,N,229,0,CASHEL ST,38.57,725
CASHEL ST and OLLIVIERS RD,W,S,564,0,CASHEL ST,50.83,398
CASHEL ST and ROLLESTON AVE,N,E,6,0,ROLLESTON AVE,36.38,69
CASHEL ST and ROLLESTON AVE,E,N,9,0,CASHEL ST,43.93,721
CASHMERE RD,N,N,34,0,CASHMERE RD,45.5,253
CASHMERE RD and CRICHTON TCE,N,N,0,0,CASHMERE RD,26.13,255
CASHMERE RD and VALLEY RD,E,N,78,0,CASHMERE RD,63.06,256
"CASHMERE RD, HOON HAY RD and WORSLEYS RD",W,S,320,0,HOON HAY RD,66.84,1188
CATHEDRAL SQ and WORCESTER ST,W,N,93,0,WORCESTER ST,18.35,447
CATHERINE ST and FERRY RD,E,N,719,0,FERRY RD,9.67,60507
CATHERINE ST and FERRY RD,S,S,652,0,FERRY RD,17.87,60508
CELIA ST and MAIN RD,W,W,148,0,MAIN RD,11.4,60539
CENTAURUS RD and RAMAHANA RD,E,S,230,0,CENTAURUS RD,43.81,189
CHADBURY ST and QUEENSPARK DR,E,N,66,0,QUEENSPARK DR,61.69,60279
CHALFORD ST and CHARON ST,W,W,30,0,CHARON ST,9.58,50102
CHANCERY LN and GLOUCESTER ST,E,N,103,0,GLOUCESTER ST,30.76,373
CHANCERY LN and GLOUCESTER ST,E,N,103,0,GLOUCESTER ST,35.01,374
CHARLESWORTH ST and FERRY RD,E,S,896,0,FERRY RD,42.4,60488
CHARTWELL ST and MAIREHAU RD,W,S,252,0,MAIREHAU RD,63.82,50180
CHARTWELL ST and MAIREHAU RD,W,N,257,0,MAIREHAU RD,24.4,50181
CHELSEA ST and LINWOOD AVE,E,N,0,256,LINWOOD AVE,33.63,60527
CHESTER ST W and DURHAM ST N,N,E,294,0,DURHAM ST N,21.23,726
CHEVIOT ST and SELWYN ST,W,W,213,0,SELWYN ST,23.99,1050
"CHRYSTAL ST, N AVON RD and TWEED ST",W,S,106,0,N AVON RD,38.49,54001
CLAYDON PL and GAYHURST RD,N,N,138,0,GAYHURST RD,48.66,60198
CLENT LN and COBHAM ST,W,N,57,0,COBHAM ST,18.42,1207
CLIFTON TCE and MAIN RD,S,W,0,303,MAIN RD,52.69,60552
CLYDE RD,E,N,248,0,CLYDE RD,15.92,1531
CLYDE RD and HOOKER AVE,E,N,360,0,CLYDE RD,49.7,1533
CLYDE RD and JEFFREYS RD,S,E,166,0,CLYDE RD,265.86,1528
"CLYDE RD, FENDALTON RD and MEMORIAL AVE",E,N,182,0,FENDALTON RD,96.16,1565
COBHAM ST and LYTTELTON ST,S,W,231,0,LYTTELTON ST,25.79,1164
COLENSO ST and MENZIES ST,E,N,53,0,COLENSO ST,29.35,50370
COLMAN AVE and MAIN SOUTH RD,W,N,88,0,MAIN SOUTH RD,71.45,1832
COLOMBO ST and DEVON ST,N,W,223,0,COLOMBO ST,25.53,242
COLOMBO ST and EDGEWARE RD,S,E,1054,0,COLOMBO ST,87.9,60461
COLOMBO ST and GLOUCESTER ST,W,N,109,0,GLOUCESTER ST,41.14,376
COLOMBO ST and HASTINGS ST W,S,W,303,0,COLOMBO ST,24.69,245
COLOMBO ST and KING ST,W,W,261,0,COLOMBO ST,7.57,244
COLOMBO ST and PURCHAS ST,N,E,968,0,COLOMBO ST,16.24,60458
COLOMBO ST and QUILL LN,N,W,559,0,COLOMBO ST,31.15,740
COLOMBO ST and REMUERA AVE,E,E,22,0,COLOMBO ST,22.29,214
COLOMBO ST and SOMERFIELD ST,N,W,163,0,COLOMBO ST,97.62,241
COLOMBO ST and SOUTHAMPTON ST,S,E,244,0,COLOMBO ST,36.57,243
COLOMBO ST and STANLEY ST,E,N,348,0,COLOMBO ST,10.67,734
COLOMBO ST and TENNYSON ST,S,W,123,0,COLOMBO ST,89.08,218
COLOMBO ST and WOODBRIDGE RD,W,W,5,0,COLOMBO ST,21.9,213
COLONIAL LN and GLOUCESTER ST,S,N,0,0,COLONIAL LN,9.77,386
COLONIAL LN and GLOUCESTER ST,E,S,136,0,GLOUCESTER ST,11.09,387
COOKE ST and SELWYN ST,W,W,125,0,SELWYN ST,42.06,304
COPPELL PL and HALSWELL RD,W,N,16,0,HALSWELL RD,14.37,1185
COTTESMORE CL and GREERS RD,S,E,116,0,GREERS RD,37.83,1803
COTTESMORE CL and GREERS RD,W,W,113,0,GREERS RD,9.41,1805
CRANFORD ST and FRASER ST,E,N,508,0,CRANFORD ST,220.84,60305
CRANFORD ST and INNES RD,E,N,238,0,CRANFORD ST,33.74,60454
CRANFORD ST and MCFADDENS RD,N,N,296,0,CRANFORD ST,31.56,60455
CRANFORD ST and WESTMINSTER ST,S,N,144,0,CRANFORD ST,43.3,60451
CRAVEN ST and MAIN SOUTH RD,E,S,85,0,MAIN SOUTH RD,38.47,1833
CRESSWELL AVE and NEW BRIGHTON RD,W,S,108,0,NEW BRIGHTON RD,44.25,60174
CREYKE RD,E,N,106,0,CREYKE RD,50.11,1771
CREYKE RD and FORESTRY RD,E,N,36,0,CREYKE RD,8.64,1766
CROHANE PL,E,N,23,0,CROHANE PL,7.08,1100
CUFFS RD and WAINONI RD,E,S,48,0,WAINONI RD,18.09,60469
CUNLIFFE RD and MAIN NORTH RD,S,E,448,0,MAIN NORTH RD,37.28,53515
CURLETTS RD and MAIN SOUTH RD,W,N,46,0,MAIN SOUTH RD,110.33,1831
"CURLETTS RD, PEER ST and YALDHURST RD",E,N,30,0,YALDHURST RD,48.33,1844
CYGNET ST and MARINE PDE,S,E,0,68,MARINE PDE,19.82,60308
DANIELS RD,W,S,2,0,DANIELS RD,13.55,60032
DARROCH ST and MAIN NORTH RD,N,E,824,0,MAIN NORTH RD,42.69,50186
DARVEL ST and RICCARTON RD,W,S,19,0,RICCARTON RD,21.84,1685
DAYTONA PL and MAIREHAU RD,W,W,406,0,MAIREHAU RD,52.45,50182
DEANS AVE and KILMARNOCK ST,W,S,7,0,KILMARNOCK ST,68.44,1743
DERBY ST and PAPANUI RD,S,W,9,0,PAPANUI RD,35.05,1908
DINTON ST and RUSSLEY RD,N,E,18,0,RUSSLEY RD,65.69,1518
DOMAIN TCE and LINCOLN RD,W,S,0,19,LINCOLN RD,40.63,2509
DUNBARS RD and ENSIGN ST,E,N,8,0,DUNBARS RD,49.42,1158
DUNCAN ST and TRURO ST,E,N,5,0,DUNCAN ST,72.6,50374
DYERS PASS RD and HACKTHORNE RD,E,S,130,0,HACKTHORNE RD,32.31,268
DYERS PASS RD and MACMILLAN AVE,E,E,0,0,DYERS PASS RD,13.63,248
EARLHAM ST and LWR STYX RD,N,W,913,0,LWR STYX RD,75.46,50106
EMMETT ST,N,N,0,0,,10.85,54012
ESTUARY RD,N,W,80,0,ESTUARY RD,46.36,61335
ESTUARY RD,S,E,97,0,ESTUARY RD,26.75,61336
FARNHAM PL and MAIDSTONE RD,N,N,44,0,MAIDSTONE RD,53.49,1770
FARRINGTON AVE and KILBURN ST,S,N,38,0,KILBURN ST,43.51,1270
FENDALTON RD and MONA VALE AVE,E,N,0,0,FENDALTON RD,23.51,1566
"FENDALTON RD, QUAMBY PL and SNOWDON RD",E,N,122,0,FENDALTON RD,45.2,1561
FERRY RD and ISABELLA PL,S,E,22,0,ISABELLA PL,8.72,522
FERRY RD and MANNING PL,S,S,402,0,FERRY RD,23.59,60492
FERRY RD and OSBORNE ST,E,N,329,0,FERRY RD,24.45,521
FERRY RD and PORTMAN ST,W,S,594,0,FERRY RD,9.06,60501
FERRY RD and SETTLERS CRES,W,N,1021,0,FERRY RD,152.4,60489
FERRY RD and TILFORD ST,W,S,518,0,FERRY RD,40.84,60497
FERRY RD and WILLIAMS ST,E,S,28,0,FERRY RD,23.28,525
"FERRY RD, HARGOOD ST and RADLEY ST",W,S,556,0,FERRY RD,53.5,60499
FITZGERALD AVE and MOORHOUSE AVE,W,N,471,0,MOORHOUSE AVE,149.98,1025
FLOCKTON ST and WESTMINSTER ST,E,S,220,0,WESTMINSTER ST,24.86,54023
"FORD RD, OPAWA RD and RICHARDSON TCE",W,S,146,0,OPAWA RD,42.99,1241
GARVINS RD and MAIN SOUTH RD,E,N,292,0,MAIN SOUTH RD,83.76,1521
GILBERTHORPES RD and GREGORY AVE,S,W,5,0,GILBERTHORPES RD,37.03,1515
GLUE PL and LYTTELTON ST,N,W,91,0,LYTTELTON ST,36.45,1166
GRAHAMS RD and WAIRAKEI RD,E,N,316,0,WAIRAKEI RD,53.38,1606
GRASSMERE ST and MAIN NORTH RD,W,W,87,0,MAIN NORTH RD,37.32,60038
"HACKTHORNE RD, TAKAHE DR and VICTORIA PARK RD",N,W,198,0,HACKTHORNE RD,26.45,270
"HAGLEY AVE, OXFORD TCE, RICCARTON AVE and TUAM ST",W,S,47,0,RICCARTON AVE,311.08,105
"HAGLEY AVE, SELWYN ST and WALLER TCE",E,S,506,0,HAGLEY AVE,77.51,997
HALSWELL RD and NASH RD,S,W,234,0,HALSWELL RD,170.91,1519
HAMPSHIRE ST and MARLOW RD,E,S,26,0,MARLOW RD,36.67,60465
HAMPSHIRE ST and WAINONI RD,S,S,310,0,WAINONI RD,23.31,60477
HANSONS LN and HAYNES AVE,S,E,29,0,HANSONS LN,19.3,1704
HANSONS LN and RICCARTON RD,W,S,367,0,RICCARTON RD,31.36,1681
HARAKEKE ST and RICCARTON RD,W,N,60,0,RICCARTON RD,22.71,1689
HARAKEKE ST and RICCARTON RD,W,S,69,0,RICCARTON RD,53.54,1690
HARBOUR RD and LWR STYX RD,W,S,46,0,HARBOUR RD,40.5,50108
HARBOUR RD and NIRVANA ST,S,W,21,0,NIRVANA ST,57.77,50109
HAREWOOD RD and HARRIS CRES,W,N,188,0,HAREWOOD RD,101.02,54024
HAREWOOD RD and MARBLE WOOD DR,E,N,92,0,HAREWOOD RD,18.82,60001
HAREWOOD RD and WILMOT ST,E,N,142,0,HAREWOOD RD,51.52,60003
HARGOOD ST and LINWOOD AVE,W,S,440,0,LINWOOD AVE,49.04,60526
HASTINGS ST E and WALTHAM RD,N,W,139,0,WALTHAM RD,41,127
HAWTHORNDEN RD and MERRIN ST,E,N,104,0,MERRIN ST,41.62,1593
HAY ST and LINWOOD AVE,E,E,10,0,HAY ST,62.6,50254
HAZELDEAN RD and LINCOLN RD,N,N,359,0,LINCOLN RD,18.45,2340
"HEATON ST, INNES RD and PAPANUI RD",N,W,271,0,PAPANUI RD,47.13,1921
HERDMAN ST and ROWLEY AVE,N,W,42,0,ROWLEY AVE,38.98,1200
HERON ST and ROCKING HORSE RD,N,W,46,0,ROCKING HORSE RD,47.3,60310
HEYDERS RD and LWR STYX RD,N,W,327,0,LWR STYX RD,14.94,50104
HILLS RD and WESTMINSTER ST,S,W,341,0,HILLS RD,36.82,54015
HOMESTEAD LN and ILAM RD,N,W,83,0,ILAM RD,27.25,1772
HOMESTEAD LN and ILAM RD,N,N,72,0,ILAM RD,48.44,1773
HOMESTEAD LN and ILAM RD,N,N,72,0,ILAM RD,56.27,1776
HOON HAY RD,N,W,170,0,HOON HAY RD,79.3,1189
HOON HAY RD and LEWIS ST,W,S,88,0,HOON HAY RD,77.03,1190
HOWARD ST and SIMEON ST,W,N,43,0,HOWARD ST,58.34,1201
ILAM RD and MONTANA AVE,S,W,125,0,ILAM RD,58.68,1777
ILAM RD and MONTANA AVE,S,N,120,0,ILAM RD,38.76,1778
INNES RD and KENSINGTON AVE,S,N,62,0,KENSINGTON AVE,42.49,50474
KAINGA RD and MAIN NORTH RD,S,E,1270,0,MAIN NORTH RD,51.22,60064
KAINGA RD and SEDDON ST,S,E,150,0,KAINGA RD,13.75,60050
KAURI ST and RICCARTON RD,W,S,149,0,RICCARTON RD,39.04,1666
KAURI ST and RICCARTON RD,W,S,149,0,RICCARTON RD,46.49,1667
KIA ORA ST and PAGES RD,W,N,635,0,PAGES RD,33.63,60339
KIRK RD and NEWTONS RD,S,W,0,223,KIRK RD,685.14,1238
KIRK RD and RIWAI ST,N,N,34,0,KIRK RD,24.13,1237
LAGAN ST and MAIN NORTH RD,S,E,684,0,MAIN NORTH RD,31.93,50190
LEINSTER RD and PAPANUI RD,E,N,226,0,PAPANUI RD,17.4,1931
LESLIE ST and WAIMAIRI RD,N,N,14,0,WAIMAIRI RD,32.08,1982
LINCOLN RD and NAIRN ST,N,N,149,0,LINCOLN RD,15.8,1107
LINCOLN RD and PARADE CT,W,W,1,0,PARADE CT,20.83,1104
LINCOLN RD and TORRENS RD,N,N,59,0,LINCOLN RD,29.06,1087
LONDON ST and STANMORE RD,S,W,295,0,STANMORE RD,26.66,337
LONDON ST and STANMORE RD,N,E,304,0,STANMORE RD,15.84,338
LWR STYX RD and SPENCERVILLE RD,N,W,371,0,LWR STYX RD,40.56,50105
LYTTELTON ST and ROSE ST,N,W,7,0,LYTTELTON ST,45.23,1177
LYTTELTON ST and STOURBRIDGE ST,W,W,143,0,LYTTELTON ST,26.15,1165
MADRAS ST and MOORHOUSE AVE,N,W,125,0,MADRAS ST,57.78,539
MADRAS ST and MOORHOUSE AVE,E,N,379,0,MOORHOUSE AVE,50.17,1024
MADRAS ST and SOUTHWARK ST,N,W,173,0,MADRAS ST,20.81,540
MAIDSTONE RD,W,N,76,0,MAIDSTONE RD,17.81,1768
MAIDSTONE RD and WESTMONT ST,W,N,136,0,MAIDSTONE RD,32.1,1769
MAIN NORTH RD,S,E,874,0,MAIN NORTH RD,347.33,50184
MAIN NORTH RD and MEADOW ST,N,W,135,0,MAIN NORTH RD,29.93,60039
MAIN NORTH RD and MOMORANGI CRES,S,E,234,0,MAIN NORTH RD,28.21,50178
MAIN NORTH RD and NORTHCOTE RD,S,W,171,0,MAIN NORTH RD,137.2,60034
MAIN NORTH RD and PROCTOR ST,S,E,50,0,MAIN NORTH RD,26.67,60035
MAIN NORTH RD and PROCTOR ST,N,W,61,0,MAIN NORTH RD,46.93,60037
MAIN NORTH RD and QUEEN ELIZABETH II DR,S,E,204,0,MAIN NORTH RD,57.18,50183
MAIN NORTH RD and THOMPSONS RD,E,N,1,0,THOMPSONS RD,11.59,50192
MAIN NORTH RD and TUCKERS RD,N,E,264,0,MAIN NORTH RD,25.74,50177
MAIN RD,E,S,0,0,MAIN RD,34.94,60532
MAIN RD and ST ANDREWS HILL RD,E,E,12,0,MAIN RD,39.71,60531
MAIN RD and WAKATU AVE,E,N,173,0,MAIN RD,32.15,60543
"MAIN RD, MT PLEASANT RD and RANGATIRA TCE",E,S,4,0,MT PLEASANT RD,34.53,60533
MAIN SOUTH RD and SHANDS RD,W,S,401,0,MAIN SOUTH RD,68.63,1524
MAIN SOUTH RD and WEAVER PL,W,N,134,0,MAIN SOUTH RD,21.29,1834
MANCHESTER ST and MOORHOUSE AVE,E,N,327,0,MOORHOUSE AVE,50.79,1022
MANCHESTER ST and MOORHOUSE AVE,E,N,339,0,MOORHOUSE AVE,111.94,1023
MANURERE ST and RANUI ST,W,N,31,0,MANURERE ST,35.19,1505
MARRINER ST and WAKEFIELD AVE,E,N,27,0,MARRINER ST,8.47,60516
MARSHLAND RD,S,W,15,0,MARSHLAND RD,63.37,50205
"MARSHLAND RD, NEW BRIGHTON RD, NORTH PDE and SHIRL",N,N,12,0,MARSHLAND RD,97.73,50203
"MARSHLAND RD, NEW BRIGHTON RD, NORTH PDE and SHIRL",W,S,60,0,SHIRLEY RD,92.23,50316
"MARSHLAND RD, NEW BRIGHTON RD, NORTH PDE and SHIRL",S,W,0,162,NORTH PDE,80.94,50476
"MARSHLAND RD, NEW BRIGHTON RD, NORTH PDE and SHIRL",S,N,162,0,NORTH PDE,57.13,50509
"MARSHLAND RD, NEW BRIGHTON RD, NORTH PDE and SHIRL",E,N,11,0,NEW BRIGHTON RD,83.61,60172
MATIPO ST and RICCARTON RD,E,N,148,0,RICCARTON RD,63.73,1668
MCCARTHY ST and ROWLEY AVE,E,S,16,0,MCCARTHY ST,65.33,1194
MEMORIAL AVE,E,N,546,0,MEMORIAL AVE,68.04,1511
MEMORIAL AVE and ROYDVALE AVE,W,N,422,0,MEMORIAL AVE,465.76,1509
MEMORIAL AVE and ROYDVALE AVE,E,N,356,0,MEMORIAL AVE,38.42,1510
NEW BRIGHTON RD,W,S,284,0,NEW BRIGHTON RD,109.59,60181
NEW BRIGHTON RD and WAYGREEN AVE,W,S,424,0,NEW BRIGHTON RD,48.25,50155
NEWNHAM TCE and RICCARTON RD,E,N,316,0,RICCARTON RD,27.48,1658
NEWNHAM TCE and RICCARTON RD,W,S,339,0,RICCARTON RD,97.56,1659
"O'BRIENS RD, RACECOURSE RD and SHOWGATE AVE",E,N,113,0,RACECOURSE RD,109.6,2033
OPAWA RD,N,W,190,0,OPAWA RD,31.88,393
OTTAWA RD and PAGES RD,W,S,176,0,PAGES RD,56.17,60325
PAGES RD,W,S,618,0,PAGES RD,53.81,60338
PAGES RD and PORTCHESTER ST,W,S,478,0,PAGES RD,37.89,60333
PAGES RD and ROWAN AVE,S,S,446,0,PAGES RD,21.84,60330
PAGES RD and SHORTLAND ST,S,S,252,0,PAGES RD,77.85,60326
PALMERS RD and REG STILLWELL PL,E,S,4,0,REG STILLWELL PL,11.27,50171
PETREL LN and ROCKING HORSE RD,N,W,186,0,ROCKING HORSE RD,48.12,60314
PLOVER ST and ROCKING HORSE RD,N,W,116,0,ROCKING HORSE RD,53.59,60312
PORT HILLS RD and STEDLEY PL,S,W,85,0,PORT HILLS RD,31.67,60522
PURIRI ST and RICCARTON RD,E,N,188,0,RICCARTON RD,45.09,1669
RODNEY ST and UNION ST,E,N,36,0,RODNEY ST,55.97,60321
ROGERS ST and WALTHAM RD,W,W,41,0,WALTHAM RD,23.05,75
ROSEWARNE ST and SELWYN ST,N,W,305,0,SELWYN ST,17.04,1054
SHIRLEY RD and SLATER ST,W,N,7,0,SHIRLEY RD,27.02,50311
SHIRLEY RD and SLATER ST,E,S,10,0,SHIRLEY RD,24.7,50313
SOMERFIELD ST and STUDHOLME ST,W,N,49,0,SOMERFIELD ST,49.93,300
SPARKS RD and VICTORS RD,E,N,169,0,SPARKS RD,37.51,1191
STAVELEY ST,E,N,86,0,STAVELEY ST,62.97,1780
TRAVIS RD,W,S,116,0,TRAVIS RD,310.63,50174
WADES AVE and WILSONS RD,N,W,119,0,WILSONS RD,57.32,193
