tempParkAssetID,FeatureCategory,IncludesHandRail,RampAreaM2,RampLengthM
25,Hard Surface - Ramp,Yes,16,4
456,Hard Surface - Ramp,Yes,60,12
750,Hard Surface - Ramp,No,7,5.5
1255,Hard Surface - Ramp,No,0.5,0.5
1453,Hard Surface - Ramp,Yes,1.5,1.5
1455,Hard Surface - Ramp,No,3,3
1531,Hard Surface - Ramp,Yes,5,3.6
1606,Hard Surface - Ramp,Yes,6,4
1903,Hard Surface - Ramp,Yes,44,4
1910,Hard Surface - Ramp,Yes,6,5
1913,Hard Surface - Ramp,Yes,5,4
1962,Hard Surface - Ramp,No,4,2
2664,Hard Surface - Ramp,Yes,2.8,2.5
3620,Hard Surface - Ramp,No,3,2
4072,Hard Surface - Ramp,No,NULL,2
4384,Hard Surface - Ramp,No,36,9
4634,Hard Surface - Ramp,No,3,3
4825,Hard Surface - Ramp,Yes,6.72,5.6
5730,Hard Surface - Ramp,No,NULL,9
6044,Hard Surface - Ramp,Yes,4,4
6241,Hard Surface - Ramp,No,4.2,3
6445,Hard Surface - Ramp,Yes,NULL,3.4
8761,Hard Surface - Ramp,No,9.72,8.1
10114,Hard Surface - Ramp,Yes,8.4,7
11180,Hard Surface - Ramp,Yes,10.5,8.7
11677,Hard Surface - Ramp,Yes,11,9
12366,Hard Surface - Ramp,No,16.5,5.5
12386,Hard Surface - Ramp,No,72.67,16.9
12452,Hard Surface - Ramp,No,17.8,8.9
13024,Hard Surface - Ramp,Yes,10.6,8.8
13509,Hard Surface - Ramp,Yes,10,6
13526,Hard Surface - Ramp,Yes,11,8.4
15092,Hard Surface - Ramp,Yes,6.8,4
21145,Hard Surface - Ramp,No,2.5,2.5
22937,Hard Surface - Ramp,Yes,6,5
22985,Hard Surface - Ramp,Yes,12.1,9.4
23787,Hard Surface - Ramp,Yes,4.32,3.6
23788,Hard Surface - Ramp,Yes,4.32,3.6
24113,Hard Surface - Ramp,No,6.96,5.8
25482,Hard Surface - Ramp,No,6,4
25954,Hard Surface - Ramp,Yes,3.9,3.2
26738,Hard Surface - Ramp,Yes,10.44,8.7
28780,Hard Surface - Ramp,Yes,24.6,20.5
28820,Hard Surface - Ramp,Yes,36.9,24.6
30824,Hard Surface - Ramp,Yes,12,10
30834,Hard Surface - Ramp,Yes,3.12,2.6
31387,Hard Surface - Ramp,Yes,6.24,5.2
32680,Hard Surface - Ramp,No,12.76,5.8
32712,Hard Surface - Ramp,Yes,3,3
32790,Hard Surface - Ramp,Yes,3,3
32799,Hard Surface - Ramp,No,2.2,1
33020,Hard Surface - Ramp,No,3,2.2
33652,Hard Surface - Ramp,No,3.6,2
33946,Hard Surface - Ramp,Yes,9.6,8
33987,Hard Surface - Ramp,Yes,4.2,3.5
35123,Hard Surface - Ramp,No,4.2,3.5
35126,Hard Surface - Ramp,Yes,6.96,5.8
35166,Hard Surface - Ramp,No,3.2,2
35173,Hard Surface - Ramp,No,3.2,2
35183,Hard Surface - Ramp,No,2.5,1
35955,Hard Surface - Ramp,No,1.44,0.9
36317,Hard Surface - Ramp,No,6,4
36358,Hard Surface - Ramp,No,11,2
36359,Hard Surface - Ramp,No,4.4,2
36360,Hard Surface - Ramp,No,6,2
36361,Hard Surface - Ramp,No,3,1
36528,Hard Surface - Ramp,Yes,7.92,6.6
36579,Hard Surface - Ramp,Yes,9.12,7.6
40735,Hard Surface - Ramp,No,3.8,3.8
41764,Hard Surface - Ramp,Yes,6.24,5.2
41789,Hard Surface - Ramp,Yes,9.36,7.8
41858,Hard Surface - Ramp,Yes,2.88,2.4
41894,Hard Surface - Ramp,No,2.3,2.3
41896,Hard Surface - Ramp,Yes,3,3
41977,Hard Surface - Ramp,Yes,8,8
43379,Hard Surface - Ramp,Yes,7.56,5.4
47894,Hard Surface - Ramp,Yes,10.32,8.6
53192,Hard Surface - Ramp,Yes,9.1,7
53199,Hard Surface - Ramp,Yes,8.4,5.6
53919,Hard Surface - Ramp,Yes,10.8,9
54241,Hard Surface - Ramp,Yes,4.32,3.6
54255,Hard Surface - Ramp,Yes,4.32,3.6
54306,Hard Surface - Ramp,No,1.5,1.5
54466,Hard Surface - Ramp,Yes,15.9,10.6
54905,Hard Surface - Ramp,Yes,8.64,7.2
56394,Hard Surface - Ramp,Yes,19.2,8
57723,Hard Surface - Ramp,Yes,5.88,4.2
58871,Hard Surface - Ramp,No,4.2,3
58874,Hard Surface - Ramp,No,9.6,2.4
58896,Hard Surface - Ramp,Yes,4.08,3.4
58902,Hard Surface - Ramp,No,9.75,3.9
59157,Hard Surface - Ramp,Yes,12.24,10.2
61798,Hard Surface - Ramp,No,1.44,1.2
62235,Hard Surface - Ramp,No,1.44,1.2
63498,Hard Surface - Ramp,No,1.96,1.4
63500,Hard Surface - Ramp,No,5.76,1.8
63646,Hard Surface - Ramp,No,5.04,4.2
63822,Hard Surface - Ramp,Yes,2.7,1.5
63841,Hard Surface - Ramp,Yes,4.94,3.8
64029,Hard Surface - Ramp,Yes,22.95,8.5
64052,Hard Surface - Ramp,Not Applicable,15.6,2.4
64085,Hard Surface - Ramp,Yes,6.3,4.5
64227,Hard Surface - Ramp,Yes,4.94,3.8
64309,Hard Surface - Ramp,Yes,10.56,8.8
65097,Hard Surface - Ramp,No,9,7.5
65573,Hard Surface - Ramp,No,7.04,4.4
65801,Hard Surface - Ramp,No,3.12,1.2
65808,Hard Surface - Ramp,No,1.12,0.8
65817,Hard Surface - Ramp,No,3.12,1.2
65829,Hard Surface - Ramp,No,1.7,1
65843,Hard Surface - Ramp,No,1.12,0.8
65850,Hard Surface - Ramp,No,1.12,0.8
65870,Hard Surface - Ramp,No,1.12,0.8
65947,Hard Surface - Ramp,No,1.12,0.8
65952,Hard Surface - Ramp,No,1.12,0.8
67359,Hard Surface - Ramp,No,8.4,7
67646,Hard Surface - Ramp,No,3.36,1.2
68466,Hard Surface - Ramp,No,32,6
68523,Hard Surface - Ramp,Yes,46.4,8
68592,Hard Surface - Ramp,Yes,5.4,3.6
68641,Hard Surface - Ramp,No,7,3.5
69090,Hard Surface - Ramp,No,1.76,0.8
71612,Hard Surface - Ramp,No,2.4,1
72707,Hard Surface - Ramp,No,5.2,2.6
72991,Hard Surface - Ramp,No,1,1
73398,Hard Surface - Ramp,No,0.99,0.9
73436,Hard Surface - Ramp,Yes,9,5
73480,Hard Surface - Ramp,No,2.4,1
76267,Hard Surface - Ramp,NULL,NULL,NULL
84005,Hard Surface - Ramp,NULL,NULL,NULL
84664,Hard Surface - Ramp,NULL,NULL,NULL
84665,Hard Surface - Ramp,NULL,NULL,NULL
84667,Hard Surface - Ramp,NULL,NULL,NULL
84668,Hard Surface - Ramp,NULL,NULL,NULL
84670,Hard Surface - Ramp,NULL,NULL,NULL
84681,Hard Surface - Ramp,NULL,NULL,NULL
84683,Hard Surface - Ramp,NULL,NULL,NULL
84690,Hard Surface - Ramp,NULL,NULL,NULL
84692,Hard Surface - Ramp,NULL,NULL,NULL
85186,Hard Surface - Ramp,NULL,NULL,NULL
85191,Hard Surface - Ramp,NULL,NULL,NULL
85192,Hard Surface - Ramp,NULL,NULL,NULL
85193,Hard Surface - Ramp,NULL,NULL,NULL
85197,Hard Surface - Ramp,NULL,NULL,NULL
88194,Hard Surface - Ramp,NULL,NULL,NULL
88202,Hard Surface - Ramp,NULL,NULL,NULL
88760,Hard Surface - Ramp,NULL,NULL,NULL
88768,Hard Surface - Ramp,NULL,NULL,NULL
88790,Hard Surface - Ramp,NULL,NULL,NULL
88802,Hard Surface - Ramp,NULL,NULL,NULL
90031,Hard Surface - Ramp,NULL,NULL,NULL
91128,Hard Surface - Ramp,NULL,NULL,NULL
92891,Hard Surface - Ramp,NULL,NULL,NULL
92895,Hard Surface - Ramp,NULL,NULL,NULL
92896,Hard Surface - Ramp,NULL,NULL,NULL
93972,Hard Surface - Ramp,NULL,NULL,NULL
93975,Hard Surface - Ramp,NULL,NULL,NULL
115338,Hard Surface - Ramp,NULL,NULL,NULL
